0	1
ve	ve
güçlü	güçlü
olduğumuzda	ol
toplumsal	toplumsal
muhalefet	muhalefet
daha	daha
da	da
yükseldiğinde	yüksel
karşımızda	karşı
iyice	iyice
azgın	azgın
iyice	iyice
eli	el
sopalı	sopalı
bir	bir
devlet	devlet
bulacağız	bul
bir	bir
yandan	yan
yeni	yeni
galeriler	galeri
açılıyor	aç
bir	bir
yandan	yan
bazıları	bazı
kapanıyor	kapa
içimde	içim
ne	ne
olduğunu	ol
bilmediğim	bil
tuhaf	tuhaf
bir	bir
şeyin	şey
cız	cız
ettiğini	et
somut	somut
duydum	duy
bir	bir
şekilde	şekil
şöyledir	şöyle
ama	ama
insanın	insan
kendini	kendi
dışındaki	dış
dışında	dış
ki	ki
olaylara	olay
kapıp	kap
koyvermesi	koyver
giderek	git
unutması	unut
daha	daha
da	da
yanlıştır	yanlış
sabah'ın	sabah
eşyaları	eşya
evimizde	ev
bir	bir
sandıkta	sandık
duruyordu	dur
duruyor	dur
bir	bir
tek	tek
dua	dua
bilmiyor	bil
hep	hep
uyduruyor	uy
ve	ve
hangisi	hangi
bağlılığının	bağlılık
nedeni	neden
deliliği	deli
ölümü	ölüm
kuşkuyu	kuşku
bencilliği	bencil
işaret	işaret
eder	et
aşağıdaki	aşağı
aşağıda	aşağı
ki	ki
manzara	manzara
80'li	80'li
yılların	yıl
akıl	akıl
almaz	al
kavgalarından	kavga
bir	bir
manzaraymış	manzara
manzaraymış	manzara
manzara	manzara
gibi	gibi
geldi	gel
türkiye'de	türkiye
hiç	hiç
kimse	kimse
bunu	bu
dile	dil
getirmeye	getir
cesaret	cesaret
edemiyor	et
teknenin	tekne
bu	bu
gibi	gibi
ağır	ağır
koşulları	koşul
zarar	zarar
görmeden	gör
atlatmasını	atla
sağlamanın	sağla
başta	baş
gelen	gel
şartı	şart
güçlü	güçlü
demir	demir
takımları	takım
ile	ile
bunların	bu
volta	volta
edileceği	et
içi	iç
dolu	dolu
yekpare	yekpare
metalden	metal
yapılma	yap
çok	çok
sağlam	sağlam
koçboynuzları	koçboynuz
ve	ve
babalara	baba
sahip	sahip
olmak	ol
orgazm	orgazm
sırasında	sıra
kasılan	kas
kaslar	kas
da	da
vajina	vajina
girişindedir	giriş
girişinde	giriş
ve	ve
çok	çok
duyarlıdır	duyarlı
duyarlı	duyarlı
2007'nin	2007
kalite	kalite
takımı	takım
belli	belli
oldu	ol
benim	ben
bilgimi	bilgi
çekin	çek
üzerinize	üzer
parklar	park
bahçeler	bahçe
spor	spor
alanları	alan
mesire	mesire
yerleri	yer
kent	kent
ormanları	orman
korular	koru
çocuk	çocuk
bahçe	bahçe
ve	ve
parkları	park
gibi	gibi
isminde	isim
ki	ki
yeşile	yeşil
anlamını	anlam
veren	ver
doğal	doğal
bir	bir
bitki	bitki
örtüsü	örtü
içeren	içer
insanların	insan
boş	boş
zamanlarını	zaman
değerlendirmek	değer
için	için
gerçekleştirecekleri	gerçek
kimi	kimi
işlevlere	işlev
olanak	olanak
sağlayan	sağla
ve	ve
yapılaşmadan	yapı
büyük	büyük
ölçüde	ölçü
arındırılmış	arın
açık	açık
alanlardır	alan
yeşil	yeşil
alanlar	alan
tom	tom
miks	miks
teksas	teksas
sıralarda	sıra
yeni	yeni
çıkmaya	çık
başlayan	başla
kinova	kinova
teks	teks
en	en
sevdiğim	sev
resimli	resimli
romanlardı	roman
romanlardı	roman
romanlar	roman
sonra	sonra
resimsiz	resimsiz
romanlara	roman
terfi	terfi
ettim	et
şu	şu
hâlde	hâl
çocuğun	çocuk
en	en
temel	temel
hakkı	hak
yaşama	yaşam
hakkı	hak
ile	ile
eğitim	eğitim
hakkı	hak
arasında	ara
yakın	yakın
bir	bir
ilişki	ilişki
bulunmaktadır	bulun
benim	ben
dün	dün
tanıdığım	tanı
76'lık	76'lık
dede	dede
gibi	gibi
yaşlıları	yaşlı
söküp	sök
koparıp	kop
sokağından	sokak
mahallesinden	mahalle
konu	konu
komşusundan	komşu
buraya	bura
tıkacaklar	tık
hep	hep
bardağın	bardak
boş	boş
kısmına	kısım
bakmak	bak
doğru	doğru
mudur	mi
benim	ben
başucumda	başucu
sesini	ses
çıkarmadan	çık
oturuyor	otur
bana	ben
öyle	öyle
geliyor	gel
ki	ki
kadınlar	kadın
açık	açık
ayakkabılarını	ayakkabı
giydiklerinde	giy
kendilerini	kendi
sanki	sanki
yarı	yarı
çıplak	çıplak
hissediyorlar	hisset
yalnızca	yalnızca
küçük	küçük
ayakları	ayak
değil	değil
de	de
bedenleri	beden
de	de
çıplakmış	çıplak
gibi	gibi
bir	bir
duyguya	duygu
kapılıyorlar	kap
eylül	eylül
ayında	ay
ithalat	ithalat
ve	ve
ihracatın	ihracat
gerçekleşmediği	gerçekleş
belirtildi	belir
sonra	sonra
adana	adana
kars'a	kars
sürgün	sürgün
gönderen	gönder
kent	kent
durumuna	durum
düşürüldüğünden	düşür
vestel	vestel
pc	pc
pazarında	pazar
lider	lider
ille	il
de	de
kimlik	kimlik
gerekiyorsa	gerek
insan	insan
ve	ve
sosyalist	sosyalist
bana	ben
bol	bol
bol	bol
yetti	yet
dinin	din(ı)
mahiyetini	mahiyet
doğru	doğru
anlayabilmek	anla
için	için
şu	şu
soru	soru
karşısındaki	karşı
karşısında	karşı
ki	ki
fikri	fikir
tavrımızın	tavır
berraklaşması	berrak
gerekiyor	gerek
din	din(ı)
dünyayı	dünya
olağanüstü	olağanüstü
güçlerle	güç
açıklamaya	açıkla
mı	mi
çalışıyor	çalış
yoksa	yok
yok	yok
bir	bir
hakikati	hakikat
tebliğ	tebliğ
mi	mi
ediyor	et
eylem	eylem
katılanlar	kat
büyük	büyük
bir	bir
olasılıkla	olasılık
çeşitli	çeşit
görüşlerden	görüş
insanlar	insan
...	...
doktor	doktor
gayet	gayet
sakin	sakin
bir	bir
şekilde	şekil
bakire	bakire
olduğumu	ol
hamile	hamile
olduğumu	ol
ve	ve
bir	bir
de	de
tümör	tümör
tespit	tespit
ettiğini	et
söyledi	söyle
geleneksel	geleneksel
ibadeti	ibadet
muhafaza	muhafaza
eden	et
ve	ve
yeni	yeni
nesillere	nesil
aktarma	aktar
görevini	görev
üstlenen	üstlen
aile	aile
ve	ve
reisi	reis
babadır	baba
gazprom	gazprom
ukrayna'yı	ukrayna
üçüncü	üç
bir	bir
ülke	ülke
yönlendiriyor	yönlendir
olabilir	ol
bu	bu
olumlu	olumlu
yönlerine	yön
karşılık	karşılık
17	17
yaşında	yaş
padişah	padişah
verdiği	ver
sarhoşluğu	sarhoşluk
bir	bir
türlü	türlü
yenemeyen	yen
abdülmecid	abdülmecid
kadın	kadın
ve	ve
içkiye	içki
aşırı	aşırı
ilgi	ilgi
göstermiş	göster
buna	bu
korkunç	korkunç
bir	bir
savurganlık	savurganlık
hırsı	hırs
eklenince	ekle
batı	batı
ülkelerinden	ülke
alınan	alın
borçlarla	borç
imparatorluğun	imparatorluk
yıkılma	yık
sebeplerinden	sebep
biri	biri
olan	ol
düyûn-ı	düyûn-ı
umumiye	umumi
devri	devir
açılmıştı	aç
açılmış	aç
görüşüm	görüş
bulandı	bulan
fenalaşmışım	fena
hafta	hafta
sonunda	sonunda
ne	ne
kadar	kadar
çok	çok
şey	şey
öğrendiğime	öğren
inanamıyordum	inan
burada	burada
çok	çok
eski	eski
yıllarda	yıl
kleopatra	kleopatra
yaşamış	yaşa
ertuğrul	ertuğrul
kürkçü	kütkçü
bu	bu
olguyu	olgu
şöyle	şöyle
yorumluyor	yorumla
kitapta	kitap
yılmaz'ın	yılmaz
radikal'deki	radikal
köşesinde	köşe
yayımlanmış	yayımla
141	141
yazısı	yazı
yer	yer
alıyor	al
aşağıdaki	aşağı
aşağıda	aşağı
ki	ki
sözcükleri	sözcük
örnekteki	örnek
örnekte	örnek
ki	ki
gibi	gibi
eşleştiriniz	eşleş
hazırlanışı	hazırla
yaşadığım	yaşa
yerin	yer
kültürel	kültürel
sosyal	sosyal
arkadaş	arkadaş
çevresi	çevre
noktasında	nokta
bana	ben
hitap	hitap
etmemesi	et
ve	ve
var	var
olan	ol
bir	bir
kaç	kaç
arkadaşımın	arkadaş
da	da
şehri	şehir
benzer	benze
sebeplerden	sebep
terk	terk
etmeleri	et
beni	ben
internet	internet
ve	ve
dolayısıyla	dolayı
chat	chat
ortamına	ortam
yönlendirdi	yönlendir
diyebilirim	de
bizim	biz
toplumda	toplum
bazı	bazı
insanlar	insan
gelişir	geliş
galatasaray'ın	galatasaray
güneş	güneş
isimli	isimli
öteki	öteki
şubesi	şube
hayli	hay
zamandır	zaman
faaliyete	faaliyet
geçmiş	geçmiş
ve	ve
galatasaray	galatasaray
güneş	güneş
zıddiyeti	zıddiyet
had	had
safhaya	safha
varmış	var
bulunuyordu	bulun
bu	bu
ortaklık	ortaklık
gerçekleştiği	gerçek
takdirde	takdir
türkiye'deki	türkiye
bankacılık	banka
sektöründeki	sektör
yabancı	yabancı
sermaye	sermaye
miktarı	miktar
iki	iki
katına	kat
çıkmış	çık
muayeneden	muayeneden
sonra	sonra
atatürk	atatürk
neşet	neşet
ömer	ömer
bey'den	bey
karnında	karın
ve	ve
ayaklarındaki	ayak
ayaklarında	ayak
ki	ki
şişliğin	şişlik
sebeplerini	sebep
sordu	sor
sina	sina
köprüsünün	köprü
beton	beton
koruganla	korugan
kucaklaşması	kucaklaş
sanki	sanki
çok	çok
uzun	uzun
zaman	zaman
önceydi	önce
önce	önce
odanın	oda
sonunda	son
bir	bir
kürsü	kürsü
bulunurdu	bulun
bulunur	bulun
bunlardan	bu
ulusal	ulusal
muhafız	muhafız
olan	ol
12'si	12
öldürüldü	öl
kişi	kişi
kaçtı	kaç
şoför	şoför
işkence	işkence
yapıldıktan	yap
sonra	sonra
serbest	serbest
bırakıldı	bırak
dedi	de
paranın	para
gerçek	gerçek
değeri	değer
uğruna	uğur
savaşlar	savaş
yapılacak	yap
cinayetler	cinayet
işlenecek	işle
ve	ve
entrikalar	entrika
çevrilecek	çevir
bir	bir
değer	değer
asla	asla
olmadı	ol
kalan	kalan
zeytinyağını	zeytinyağı
kızdırın	kız
yine	yine
gün	gün
doğdu	doğ
kaç	kaç
kişilik	kişilik
ingiltere'de	ingiltere
henüz	henüz
yaşında	yaş
olan	ol
keiron	keiron
williamson	williamson
adlı	adlı
çocuğun	çocuk
yaptığı	yap
sulu	sulu
boya	boya
resimler	resim
sanat	sanat
dünyası	dünya
tarafından	taraf
profesyonelce	profesyonelce
yapılmış	yap
diye	diye
hayranlık	hayranlık
kazandı	kazan
polis	polis
zakayev'in	zakayev
rus	rus
yetkililerin	yetkili
isteği	istek
üzerine	üzer
gözaltına	gözaltı
alındığını	al
açıkladı	açıkla
bana	ben
sen	sen
dediği	de
ve	ve
babamla	baba
ilgili	ilgili
anılarını	anı
anlattığı	anlat
için	için
ben	ben
de	de
sadi	sadi
bey	bey
amca	amca
diye	diye
hitap	hitap
etmeye	et
başladım	başla
her	her
hafta	hafta
farklı	fark
bir	bir
ev	ev
ödevi	ödev
işte	iş
hülya	hülya
koçyiğit'le	koçyiğit
de	de
genelde	genel
hepsi	hep
birbirinin	birbiri
aynı	aynı
konuları	konu
içeren	içer
zengin	zengin
kız	kız
fakir	fakir
erkek	erkek
aşkının	aşk
veya	veya
tam	tam
tersinin	ters
anlatıldığı	anla
içinde	iç
hem	hem
komedi	komedi
hem	hem
dram	dram
öğeleri	öğe
barındıran	barın
sonunu	son
bildiğimiz	bil
ama	ama
yine	yine
de	de
merakla	merak
ve	ve
keyifle	keyif
izlediğimiz	izle
filmlerden	film
birinde	biri
tanıştım	tanış
bir	bir
özelliği	özellik
bağırsakları	bağırsak
temizlemek	temizle
için	için
ilaç	ilaç
da	da
kullanılması	kullan
...	...
özdemir'in	özdemir
ingiltere'de	ingiltere
üniversiteden	üniversite
arkadaşı	arkadaş
korkut	korkut
ismet'i	ismet
sümerbank'ta	sümerbank
çalıştığı	çalış
yıllardan	yıl
tanıyordu	tanı
tanıyor	tanı
amerikan	amerikan
toplumunun	toplum
terörizm	terörizm
konusunda	konu
her	her
zaman	zaman
türkiye'nin	türkiye
yanında	yan
olduğuna	ol
inandıklarını	inan
belirten	belir
pak	pak
mitinge	miting
sadece	sadece
türk	türk
toplumunu	toplum
bütün	bütün
amerikan	amerikan
toplumunu	toplum
davet	davet
ettiklerini	et
belirtti	belir
bunu	bu
gören	gör
öğretmeni	öğretmen
yaşamanın	yaşama
getirdiği	getir
sıkıntıları	sıkıntı
hafife	hafif
al	al
ama	ama
resme	resim
aktarmaktan	aktar
da	da
alıkoyma	alıkoy
kendini	kendi
olimpiyatlarda	olimpiyat
yarışan	yarış
sporcu	sporcu
hem	hem
kendisini	kendi
hem	hem
de	de
insanlığı	insanlık
fiziksel	fiziksel
daha	daha
iyiye	iyi
taşıyabilmek	taşı
amacındadır	amaç
sonunda	sonunda
baktı	bak
ki	ki
olmayacak	ol
meramını	meram
çeşitli	çeşit
hareketlerle	hareket
anlatmaya	anlat
karar	karar
verdi	ver
hareket	hareket
selânik'in	selânik
sınırlarını	sınır
çoktan	çok
aşmıştı	aş
aşmış	aş
dönerken	dön
döner	dön
de	de
soruyorsunuz	sor
...	...
batıdan	batı
doğuya	doğu
giden	git
yollar	yol
muhacirlerle	muhacir
doluydu	dolu
dolu	dolu
dur	dur
yasak	yasak
derdi	de
eskiden	eski
boncukçuluk	boncukçuluk
babadan	baba
oğula	oğul
geçermiş	geç
geçer	geç
her	her
birine	biri
değişik	değişik
davranılmış	davran
ve	ve
kıbrıs	kıbrıs
türkü'nün	türk
uzun	uzun
yıllardır	yıl
verdiği	ver
mücadelede	mücadele
yaşadığı	yaşa
sıkıntılar	sıkıntı
dikkate	dikkat
alınmadan	alın
kıbrıs	kıbrıs
sorununun	sorun
çözümü	çözüm
için	için
kıbrıs	kıbrıs
türk	türk
halkı	halk
sandık	sandık
başına	baş
gidip	git
oy	oy
verdiği	ver
halde	hâl
karşı	karşı
oy	oy
kullananları	kullan
destekleyen	destekle
tavırlar	tavır
takınılabilmiştir	takın
ifadelerini	ifade
kullandı	kullan
ab	ab
konseyi	konsey
kıbrıs	kıbrıs
sorununa	sorun
siyasi	siyasi
bir	bir
çözüm	çözüm
bulunması	bulun
kıbrıs'ın	kıbrıs
birliğe	birlik
katılımını	katılım
hızlandıracaktır	hız
clay'e	clay
geceleri	gece
yahudi	yahudi
kâtibi	kâtip
hesap	hesap
defterlerini	defter
faturaları	fatura
muhasebe	muhasebe
kayıtlarını	kayıt
gösterir	göster
günlük	günlük
kayıtlar	kayıt
bitince	bit
eski	eski
defterleri	defter
getirip	getir
okumaya	oku
koyulur	koy
ihtiyar	ihtiyar
ve	ve
huysuz	huy
zengin	zengin
bunları	bu
dinleyerek	dinle
uyur	uyu
ama	ama
bir	bir
gün	gün
utangaç	utangaç
bir	bir
sesle	ses
yahudi	yahudi
kâtibine	kâtip
faturalardan	fatura
başka	başka
okunabilecek	oku
şeyler	şey
de	de
olabileceğini	ol
söyler	söyle
kitaplar	kitap
gibi	gibi
şeyler	şey
100	100
boncuk	boncuk
yapınca	yap
50	50
para	para
40	40
para	para
kuruş	kuruş
alıyormuş	al
alıyor	al
belçikalı	belçikalı
parlamenter	parlamenter
stef	stef
goris	goris
filistin'de	filistin
ki	ki
parlamento	parlamento
seçimlerinin	seçim
yasal	yasal
sonuçlarını	sonuç
görmemezlikten	gör
gelemeyeceklerini	gel
seçimlerin	seçim
adil	adil
ve	ve
bağımsız	bağımsız
olduğunun	ol
herkes	herkes
tarafından	taraf
kabul	kabul
edildiğini	et
hatırlattı	hatırla
hazine	hazine
dün	dün
toplamda	toplam
piyasadan	piyasa
katrilyon	katrilyon
68.2	68.2
trilyon	trilyon
lira	lira
çekti	çek
bazen	bazen
çok	çok
sevip	sev
dinlemeye	dinle
doyamadığı	doy
şarkının	şarkı
sözlerini	söz
mırıldanırken	mırıldan
mırıldanır	mırıldan
görüyorum	gör
mücadelem	mücadele
süresince	süre
coşkum	coşku
bu	bu
korkuma	korku
eşlik	eşlik
etti	et
akakçe	akakçe
alanın	alan
tümünü	tüm
kullanarak	kullan
mekân	mekân
düzenlemesine	düzenle
de	de
giriyor	gir
dördüncü	dördünç
ameliyat	ameliyat
bitti	bit
ve	ve
yüzümün	yüz
sol	sol
tarafı	taraf
yine	yine
bandajlandı	bandajla
bir	bir
evde	ev
bir	bir
sakat	sakat
yeter	yet
dediğim	de
de	de
herkes	herkes
bana	ben
kadar	kadar
çok	çok
gülüyordu	gül
gülüyor	gül
ki	ki
ve	ve
ne	ne
kadar	kadar
hayatlarını	hayat
tehlikeye	tehlike
attıklarının	at
farkında	fark
bile	bile
değillerdi	de
değillerdi	de
değillerdi	değil
bu	bu
haberin	haber
yayınlanıp	yayınla
yayınlanmaması	yayınla
bizim	biz
kontrolümüz	kontrol
dışındadır	dış
ve	ve
yayınlanmaları	yayınla
için	için
bir	bir
ücret	ücret
talep	talep
edilmez	et
ne	ne
yapacakları	yap
önceden	önce
pek	pek
kestirilemez	kes
babam	baba
bayrağımızı	bayrak
balkona	balkon
özenle	özen
astı	as
ben	ben
de	de
manevi	manevi
açıdan	açı
yardımcı	yardımcı
olurum	ol
ama	ama
maddi	maddi
açıdan	açı
yardımcı	yardımcı
olamam	ol
çağ	çağ
atlayınca	atla
böyle	böyle
olurmuş	ol
olur	ol
merkez	merkez
sağ	sağ
şimdi	şimdi
artık	artık
türkeş	türkeş
olmadığına	ol
göre	göre
ya	ya
daha	daha
merkeze	merkez
kayacak	kay
liberalleşecek	liberal
demokratikleşecek	demokratik
ve	ve
daha	daha
belirgin	belirgin
ve	ve
özgün	özgü
bir	bir
kimliğe	kimlik
kavuşacak	kavuş
ya	ya
da	da
savrulup	savrul
dinci	din
siyasetin	siyaset
etki	etki
alanına	alan
girecektir	gir
ülkemizde	ülke
sizin	siz
de	de
bildiğiniz	bil
gibi	gibi
dünyada	dünya
ki	ki
petrol	petrol
krizinden	kriz
dolayı	dolayı
benzin	benzin
mazot	mazot
gaz	gaz
yağı	yağı
ve	ve
diğer	diğer
petrol	petrol
türevleri	türev
bulunamamaktadır	bulun
basınç	basınç
noktalarına	nokta
uygun	uygun
bölgeyi	bölge
besleyen	besle
ana	ana
damara	damar
da	da
basınç	basınç
uygulanır	uygula
zaten	zaten
olsaydım	ol
olsa	ol
bu	bu
günlere	gün
de	de
gelemezdim	gel
gelemez	gel
bir	bir
hatun	hatun
sesi	ses
...	...
biri	biri
iyi	iyi
bir	bir
marka	marka
klasik	klasik
diğeri	diğer
spor	spor
iki	iki
saat	saat
bir	bir
diğer	diğer
çarpıcı	çarpıcı
nokta	nokta
da	da
hemen	hemen
hemen	hemen
her	her
kurumda	kurum
bilinen	bil
torpil	torpil
uygulamasının	uygulama
güzel	güzel
sanatlar	sanat
fakültelerine	fakülte
öğrenci	öğrenci
alımında	alım
bile	bile
söz	söz
konusu	konu
olması	ol
murad'ı	murad
kurtarıp	kurtar
tahta	taht
geçirmek	geç
üzere	üzere
adamlarıyla	adam
beraber	beraber
saldırdığı	saldır
ve	ve
çorum'dan	çorum
ümmi	ümmi
gelip	gel
öteki	öte
öte	öte
ki	ki
dünyaya	dünya
ümmi	ümmi
giden	git
beşiktaş	beşiktaş
muhafızı	muhafız
yedi	yedi
sekiz	sekiz
hasan	hasan
paşa'nın	paşa
sopa	sopa
darbeleriyle	darbe
can	can
verdiği	ver
saray'ın	saray
bahçesinde	bahçe
kurulan	kur
şeref	şeref
stadı	stat
biz	biz
kazandığımız	kazan
en	en
değerli	değerli
hazineleri	hazine
kaybetmiş	kaybet
hükümdar	hükümdar
köle	köle
zengin	zengin
fakir	fakir
güçlü	güçlü
güçsüz	güç
olmuşuz	ol
asla	asla
yollarını	yol
şaşırmazlar	şaşır
her	her
akşam	akşam
tarlalardan	tarla
kalkıp	kalk
sürüler	sürü
hâlinde	hâl
göle	göl
doğru	doğru
uçarlar	uç
ardından	ardından
peşmergeler	peşmerge
kuzey	kuzey
ırak'la	ırak
musul	musul
arasında	ara
stratejik	stratejik
bir	bir
nokta	nokta
olan	ol
mankuba	mankuba
köprüsünü	köprü
ele	el
geçirerek	geçir
köprü	köprü
yakınındaki	yakın
yakınında	yakın
ki	ki
kazar	kazar
köyüne	köy
girdi	gir
bu	bu
mektuplarda	mektup
ve	ve
yazışmalarda	yazışma
milyarlarca	milyarlarca
dolar	dolar
söz	söz
konusudur	konu
konusu	konu
elbette	elbette
dünyada	dünya
kusursuz	kusursuz
güzellik	güzellik
bıkılmayacak	bık
zevk	zevk
ve	ve
bozulmayacak	boz
ahenk	ahenk
yoktur	yok
yok	yok
artık	artık
arabası	araba
bozulmuştu	boz
bozulmuş	boz
büyük	büyük
bir	bir
poğaça	poğaça
arabası	araba
yaptırıp	yap
sabah	sabah
erken	erken
saatler	saat
ek	ek
iş	iş
yapacağım	yap
dedim	de
açık	açık
saçık	saçık
konuşmanın	konuş
her	her
zaman	zaman
iyi	iyi
karşılanacağını	karşıla
zannetme	zannet
yani	yani
düşen	düş
isviçre'nin	isviçre
eksiklik	eksiklik
saptadığı	sapta
veya	veya
yunanistan	yunanistan
üzerinde	üzer
alev	alev
alan	al
uçak	uçak
aaaa	aaaa
olmaz	ol
beyefendi	beyefendi
daha	daha
çok	çok
vermişsinizdir	ver
...	...
birbirine	birbiri
yapışık	yapışık
ortaçağ	ortaçağ
evleri	ev
lokantalar	lokanta
resim	resim
ve	ve
heykel	heykel
atölyelerinin	atölye
dizildiği	diz
yokuşlar	yokuş
bir	bir
yerde	yer
düze	düze
çıkarak	çık
akkavakların	akkavak
gölgesinde	gölge
serinleticiler	serinletici
sunan	sun
kahvelerin	kahve
bulunduğu	bulun
agoraya	agora
ve	ve
açıkhava	açıkhava
tiyatrosuna	tiyatro
açılıyor	aç
başına	baş
buyruk	buyruk
bu	bu
insanın	insan
benden	bende
izin	izin
istemesi	iste
içime	iç
şüphe	şüphe
düşürmüştü	düşür
düşürmüş	düşür
sevgilerin	sevgi
yaşadığına	yaşa
tanıklık	tanıklık
ettiler	et
bir	bir
kaba	kap
nişasta	nişasta
ile	ile
pirinç	pirinç
ununu	un
koyarak	koy
üstlerine	üst
bardak	bardak
suyu	su
sicim	sicim
gibi	gibi
akıtın	akıt
ve	ve
bir	bir
taraftan	taraf
da	da
karıştırarak	karış
eritin	eri
durup	dur
ağacı	ağaç
ve	ve
meyvelerini	meyve
seyretmeye	seyret
başladım	başla
bu	bu
civarda	civar
ilk	ilk
kez	kez
bir	bir
portakal	portakal
ağacı	ağaç
görüyordum	gör
görüyor	gör
her	her
şeyin	şey
objektif	objektif
kurallara	kural
göre	göre
yapılması	yap
gerekir	gerek
dışişleri	dışişleri
bakanı	bakan
ursula	ursula
plassnik	plassnik
ab	ab
genel	genel
işler	iş
konseyi	konsey
toplantısının	toplantı
başlamasından	başla
hemen	hemen
önce	önce
yaptığı	yap
açıklamada	açıklama
da	da
türkiye	türkiye
ile	ile
ilgili	ilgili
düğümün	düğüm
çözülmesini	çöz
umduğunu	umduğunu
söylemişti	söyle
söylemiş	söyle
fareler	fare
insan	insan
ve	ve
maymunlardan	maymun
sonra	sonra
bu	bu
hünere	hüner
sahip	sahip
ilk	ilk
hayvan	hayvan
kabul	kabul
ediliyor	et
'le	le
belirtilen	belir
ve	ve
güneş'in	güneş
diğer	diğer
yanında	yan
kalan	kal
büyük	büyük
gezegen	gezegen
jüpiter	jüpiter
atatürk	atatürk
önemsiz	önemsiz
gibi	gibi
görünen	gör
bu	bu
işten	iş
büyük	büyük
üzüntü	üzüntü
duymuştu	duy
duymuş	duy
küçük	küçük
peri	peri
kızı	kız
çok	çok
haklı	haklı
demiş	de
kendi	kendi
kendine	kendi
muayenehanesinin	muayenehane
kapısına	kapı
hastaları	hasta
ürkütmemek	ürk
için	için
akıl	akıl
sinir	sinir
ya	ya
da	da
ruh	ruh
ve	ve
sinir	sinir
hastalıkları	hastalık
hekimi	hekim
olduğunu	ol
bile	bile
yazamayan	yaz
hekimlerin	hekim
bulunduğu	bul
ülkemizde	ülke
sayısı	sayı
kısıtlı	kısıt
kısıt	kısıt
lı	li
yani	yani
yetersiz	yetersiz
akıl	akıl
hastaneleri	hastane
vardır	var
var	var
ikinci	iki
dünya	dünya
savaşı'nın	savaş
bitiminden	bitim
sonra	sonra
arnavutluk	arnavutluk
halk	halk
cumhuriyeti	cumhuriyet
olan	ol
ülkede	ülke
bugün	bugün
enver	enver
hoca	hoca
bile	bile
evindeki	ev
evinde	ev
ki	ki
lüks	lüks
yaşamı	yaşam
yüzünden	yüz
suçlanıyor	suçla
aynı	aynı
dönemde	dönem
dünyadaki	dünya
dünyada	dünya
ki	ki
internet	internet
kullanıcı	kullanıcı
sayısı	sayıs
183	183
milyondan	milyon
683	683
milyon	milyon
kişiye	kişi
çıktı	çık
bu	bu
durumda	durum
iştahta	iştah
azalma	azal
ve	ve
kilo	kilo
kaybı	kayıp
uykusuzluk	uyku
ve	ve
seyrek	seyrek
aşırı	aşırı
uyuma	uyu
isteği	istek
ölüm	ölüm
ve	ve
intihar	intihar
düşünceleri	düşünce
kendini	kendi
değersiz	değersiz
görme	gör
gibi	gibi
belirtiler	belirti
olur	ol
ergen	ergen
daha	daha
sonra	sonra
çalışanları	çalışan
toplayıp	topla
kırkan'ın	kırk
iddiasına	iddia
göre	göre
tayin	tayin
yerlerinize	yer
gidin	git
bu	bu
anlamda	anlam
tutarsızlıklar	tutarsızlık
sergiler	sergile
martılar	martı
çığlık	çığlık
çığlık	çığlık
ödemeyi	ödeme
yapıp	yap
bisikleti	bisiklet
alarak	al
mağazadan	mağaza
çıktılar	çık
geçmişte	geçmiş
en	en
yakınınız	yakın
olmuş	ol
olan	ol
şimdiki	şimdi
şimdiki	şimdi
ki	ki
yabancıyı	yabancı
ya	ya
da	da
gelecekte	gelecek
en	en
yakınınız	yakın
olabilecek	ol
şimdilik	şimdilik
yabancıyı	yabancı
hafızanızın	hafıza
derinliklerinden	derinlik
söküp	sök
uzak	uzak
sürgünlere	sürgün
gönderdiğinizde	gönder
birlikte	birlikte
giden	git
birşeyler	bir
bir	bir
şeyler	şey
olmuyor	ol
mu	mi
adı	ad
fergan	fergan
oradan	ora
ısmarladığım	ısmarla
arabayı	araba
alacağım	al
gazi'den	gazi
akp'ye	akp
tepki	tepki
kaide'nin	kaide
11	11
eylül'den	eylül
daha	daha
şiddetli	şiddetli
bir	bir
saldırı	saldırı
amaçladığını	amaçla
ve	ve
hala	hala
yöntem	yöntem
sivil	sivil
uçaklarla	uçak
ilgilendiği	ilgilen
uyarısı	uyarı
yapıldı	yap
daha	daha
sonra	sonra
rabotnicki	rabotnicki
kometal	kometal
pobeda	pobeda
cementarnica	cementarnica
vardar	vardar
borec	borec
mhk	mhk
makedonija	makedonija
peliszter	peliszter
tıkves	tıkves
oszogovo	oszogovo
kumanovo	kumanovo
szileksz	szileksz
szasza	szasza
napredok	napredok
sıralanıyorlar	sıra
atatürk	atatürk
çok	çok
sevdiği	sev
ankara'nın	ankara
bu	bu
görünümünü	görünüm
değiştirmek	değiş
için	için
hemen	hemen
gerekli	gerekli
emirleri	emir
vermişti	ver
vermiş	ver
insanlığın	insanlık
hepsini	hep
bir	bir
vücut	vücut
ve	ve
bir	bir
milleti	millet
bunun	bu
bir	bir
organı	organ
saymak	say
gerekir	gerek
arayışın	arayış
sebebi	sebep
de	de
yolu	yol
da	da
sonucu	sonuç
da	da
doğru	doğru
insandan	insan
geçerse	geç
geçer	geç
ve	ve
kişi	kişi
aynı	aynı
dili	dil
konuşabildiği	konuş
kendisini	kendi
tam	tam
ifade	ifade
edebildiği	et
ve	ve
karşısındakinin	karşı
bunu	bu
tam	tam
anlayabildiği	anla
bir	bir
dostla	dost
